source_id,label,path,provider,expected_time,expected_geo,expected_scope,index_base,role,notes,local_path,exists,read_status,encoding_or_type,rows,columns,period_min,period_max,year_min,year_max,period_count,region_col,region_count,province_count,sigungu_count,coverage_status,special,pps_months_complete,pps_adoptable_years,pps_first_incomplete_period
sigungu_annual_gva,시군구 경제활동별 연간 실질 GVA,nationwide/outputs/annual_sigungu_gva_normalized.csv,KOSIS 지역소득,annual,sigungu,nationwide_with_publication_gaps,real_value_not_index,시군구×업종 연간 actual/상위 집계검증,공표 시도별 연도 범위가 다르며 일부 광역시는 2023 시군구 원천이 없다.,nationwide/outputs/annual_sigungu_gva_normalized.csv,True,ok,utf-8-sig,12844,9,2019,2023,2019,2023,5,province_full,17,17,207,usable_for_2021_2025_backtest_with_limits,,,,
sido_quarterly_grdp_experimental,시도별 분기 실질 GRDP/GDP 실험적 통계,data/processed/phase211_gyeonggi_2024_2025_grdp_extension/phase211_sido_quarterly_xlsx_long.csv,통계청 지역통계 실험적 통계,quarter,sido,nationwide,real_value_not_index,시도 분기 actual 및 전국 GDP 경계 검증,세종 단층처리와 순생산물세 bridge에 사용.,data/processed/phase211_gyeonggi_2024_2025_grdp_extension/phase211_sido_quarterly_xlsx_long.csv,True,ok,utf-8-sig,16560,8,2015Q1,2026Q1,2015,2026,45,region,23,,,covers_2015_2025,,,,
national_quarterly_gdp,전국 분기 GDP,data/processed/rolling_national_quarterly_gdp_real.csv,국민계정/통계청·한국은행 계열,quarter,national,national,real_value_not_index,17개 시도 합계의 전국 경계 검증,전국 경계 WAPE는 외부 일관성 참고지표로만 해석.,data/processed/rolling_national_quarterly_gdp_real.csv,True,ok,cp949,2508,12,201501,202504,2015,2025,44,c1_nm,57,57,,covers_2015_2025,,,,
manufacturing_production_index,시도별 제조업 광공업생산지수,data/processed/rolling_mining_manufacturing_production_index.csv,KOSIS 광업제조업동향조사,month,sido,nationwide,2020=100,광업·제조업 월별 시간경로 후보,공개 actual 검증은 광업+제조업 합산 경계에서 수행.,data/processed/rolling_mining_manufacturing_production_index.csv,True,ok,cp949,792,14,201501,202504,2015,2025,44,c1_nm,18,18,,covers_2015_2025,,,,
mining_production_index,시도별 광업 생산지수,data/processed/rolling_mining_production_index.csv,KOSIS 광업제조업동향조사,month_or_quarter,sido,nationwide,2020=100,광업·제조업 내부 분리 후보,일부 기간/지역 결측 가능.,data/processed/rolling_mining_production_index.csv,True,ok,cp949,576,14,201501,202504,2015,2025,44,c1_nm,14,14,,covers_2015_2025,,,,
manufacturing_detail_production_index,제조업 세부 생산지수,data/processed/phase195_monthly_detail_manufacturing_production_index.csv,KOSIS 광업제조업동향조사,month,national_or_partial,partial_industry,2020=100,제조업 중분류·세부업종 시간경로 후보,전체 KSIC 중분류를 덮지 못하므로 보조 후보.,data/processed/phase195_monthly_detail_manufacturing_production_index.csv,True,ok,utf-8-sig,2145,12,202001,202505,2020,2025,65,c1_nm,6,6,,partial_by_definition,,,,
service_production_index,시도별 서비스업생산지수,data/processed/rolling_service_production_index.csv,KOSIS 서비스업동향조사,month_or_quarter,sido,nationwide,2020=100,서비스업 및 세부 서비스 시간경로 후보,상반기 조기점검 보조에는 유효하나 자동채택은 rolling gate 필요.,data/processed/rolling_service_production_index.csv,True,ok,cp949,10472,14,201501,202504,2015,2025,44,c1_nm,17,17,,covers_2015_2025,,,,
service_detail_national_index,전국 세부 서비스업생산지수,data/processed/expanded_national_service_ksic_production_index.csv,KOSIS 서비스업동향조사,month_or_quarter,national,national_detail,2020=100,세부 서비스업 시간 profile 후보,지역 차원이 없어 시군구 공간배분 단독 근거로 사용 금지.,data/processed/expanded_national_service_ksic_production_index.csv,True,ok,cp949,6412,12,201901,202404,2019,2024,24,c1_nm,238,238,,usable_for_2021_2025_backtest_with_limits,,,,
electricity_sigungu_monthly,시군구 전력사용량 historical as-of 패널,data/processed/municipality_electricity_asof_long.csv,한국전력/전력 사용량 공개자료,month,sigungu,nationwide_or_large_panel,usage_not_index,제조업·전력/가스·상업활동 보조 지표,업종귀속이 거칠어 단독 route보다 보조 후보.,data/processed/municipality_electricity_asof_long.csv,True,ok,cp949,69673,11,202001,202307,2020,2023,42,,,,,usable_for_2021_2025_backtest_with_limits,,,,
electricity_sigungu_current_monthly,시군구 전력사용량 최신 월별 원천,data/processed/municipality_electricity_monthly.csv,한국전력/전력 사용량 공개자료,month,sigungu,nationwide_current_snapshot,usage_not_index,최신 2025년 이후 nowcast 후보,최신 공표분 중심 자료. 과거 backtest에는 historical as-of 패널을 우선 사용.,data/processed/municipality_electricity_monthly.csv,True,ok,cp949,148616,21,202501,202604,2025,2026,16,sido_name,17,17,207,limited_period,,,,
electricity_gas_production_index,전기·가스 생산지수,data/processed/rolling_electricity_gas_production_index.csv,KOSIS 생산지수,month_or_quarter,sido,nationwide,2020=100,전기·가스업 시간경로 후보,지수형 입력. 기준연도 bridge 감사 대상.,data/processed/rolling_electricity_gas_production_index.csv,True,ok,cp949,792,14,201501,202504,2015,2025,44,c1_nm,18,18,,covers_2015_2025,,,,
pps_contract_info,조달청 나라장터 공사계약 정보,data/processed/phase248_pps_contract_collection_manifest.csv,공공데이터포털/조달청,month/day,nationwide_text_attribution,nationwide_public_contracts,amount_not_index,건설업 공공공사 계약금액 보조자료,API 429로 전량 미완료. 공공공사 계약액이지 전체 건설업 actual이 아니다.,data/processed/phase248_pps_contract_collection_manifest.csv,True,ok,utf-8-sig,132,11,201501,202512,2015,2025,132,,,,,blocked_api_incomplete,pps_manifest,21.0,1.0,201610
cals_contracts,CALS 공사계약/목록,data/processed/phase241_cals_construction_contract_rows.csv,건설CALS/공공공사 정보,event_snapshot,project_location_text,public_soc_partial,amount_not_index,도로·하천 공공/SOC 건설업 보조자료,민간건축 및 전체 건설업 대표자료 아님.,data/processed/phase241_cals_construction_contract_rows.csv,True,ok,utf-8-sig,1683,34,1997년,전체,1997,2027,33,,,,,partial_by_definition,,,,
